source,metaedge,target
Gene::64321,GpBP,Biological_Process::GO:0048232
Anatomy::UBERON:0001017,AeG,Gene::7114
Gene::596,GpPW,Pathway::PC7_1684
Gene::9341,GpBP,Biological_Process::GO:0061024
Gene::4690,GiG,Gene::6714
Gene::10954,Gr>G,Gene::25966
Gene::22859,Gr>G,Gene::388650
Gene::8028,GiG,Gene::6598
Anatomy::UBERON:0001013,AuG,Gene::5094
Gene::84246,GcG,Gene::9282
Gene::200734,GpBP,Biological_Process::GO:0001933
Gene::6710,GpCC,Cellular_Component::GO:0099568
Gene::10691,Gr>G,Gene::4830
Compound::DB00225,CcSE,Side_Effect::C0009450
Disease::DOID:2998,DaG,Gene::7157
Gene::64411,GpMF,Molecular_Function::GO:0008289
Gene::8772,GpBP,Biological_Process::GO:0097300
Gene::7153,GpBP,Biological_Process::GO:0007067
Gene::204,GiG,Gene::7428
Gene::10253,Gr>G,Gene::1066
Anatomy::UBERON:0000029,AuG,Gene::9322
Gene::788,Gr>G,Gene::7103
Gene::114984,GcG,Gene::10675
Compound::DB04865,CdG,Gene::54541
Gene::1457,GiG,Gene::6613
Anatomy::UBERON:0000998,AeG,Gene::29997
Gene::65009,GpBP,Biological_Process::GO:0072359
Anatomy::UBERON:0000955,AdG,Gene::5663
Gene::8525,GpBP,Biological_Process::GO:0042060
Anatomy::UBERON:0000178,AeG,Gene::2806
Gene::652,GpBP,Biological_Process::GO:0061326
Anatomy::UBERON:0001295,AeG,Gene::26003
Gene::1952,GpBP,Biological_Process::GO:0032990
Gene::23443,Gr>G,Gene::6304
Gene::54681,Gr>G,Gene::6184
Gene::11095,GpPW,Pathway::PC7_5330
Gene::3192,GiG,Gene::22907
Compound::DB01053,CcSE,Side_Effect::C0001824
Gene::348980,GpBP,Biological_Process::GO:0071804
Gene::533,GpPW,Pathway::PC7_7460
Gene::4130,GpCC,Cellular_Component::GO:0099513
Anatomy::UBERON:0001896,AuG,Gene::401115
Anatomy::UBERON:0002048,AeG,Gene::3187
Gene::26277,Gr>G,Gene::388650
Gene::3925,Gr>G,Gene::23335
Gene::10465,Gr>G,Gene::22827
Gene::84639,GcG,Gene::80139
Compound::DB01238,CcSE,Side_Effect::C0004604
Compound::DB00641,CdG,Gene::1831
Gene::7472,GpPW,Pathway::PC7_2621
Gene::23062,GiG,Gene::54812
Gene::2625,GpBP,Biological_Process::GO:0070486
Gene::2475,GpBP,Biological_Process::GO:0032006
Compound::DB00305,CcSE,Side_Effect::C0020517
Gene::84168,GpPW,Pathway::PC7_8633
Anatomy::UBERON:0002110,AeG,Gene::250
Anatomy::UBERON:0000006,AeG,Gene::2314
Gene::6233,GpPW,Pathway::PC7_3772
Gene::6469,Gr>G,Gene::1021
Compound::DB00999,CcSE,Side_Effect::C0042384
Gene::23478,GpBP,Biological_Process::GO:0033365
Gene::7320,GpBP,Biological_Process::GO:0016567
Gene::1490,Gr>G,Gene::7103
Anatomy::UBERON:0000955,AeG,Gene::2521
Gene::135644,GpBP,Biological_Process::GO:0016567
Gene::284613,GcG,Gene::399473
Gene::5976,GiG,Gene::10989
Gene::3605,GpBP,Biological_Process::GO:0009617
Gene::9219,GpMF,Molecular_Function::GO:0044212
Anatomy::UBERON:0001013,AeG,Gene::7078
Gene::11074,GpBP,Biological_Process::GO:0043901
Anatomy::UBERON:0002107,AeG,Gene::6132
Gene::2549,GpPW,Pathway::PC7_7448
Gene::51290,Gr>G,Gene::146909
Gene::84159,Gr>G,Gene::23635
Anatomy::UBERON:0002371,AdG,Gene::4191
Gene::2852,GpCC,Cellular_Component::GO:0005882
Anatomy::UBERON:0002365,AeG,Gene::9622
Gene::7784,GpBP,Biological_Process::GO:0007339
Gene::7157,GpBP,Biological_Process::GO:0008285
Disease::DOID:7693,DuG,Gene::7048
Gene::8554,GpBP,Biological_Process::GO:0016567
Anatomy::UBERON:0000948,AdG,Gene::2896
Gene::6663,GpBP,Biological_Process::GO:0002065
Gene::88,GpBP,Biological_Process::GO:0042692
Gene::3596,GpBP,Biological_Process::GO:0051279
Gene::6772,GpBP,Biological_Process::GO:0042742
Anatomy::UBERON:0000473,AeG,Gene::23204
Gene::2561,GpMF,Molecular_Function::GO:0008509
Gene::6613,GiG,Gene::51547
Compound::DB00268,CcSE,Side_Effect::C0041912
Gene::6885,Gr>G,Gene::22827
Compound::DB00721,CcSE,Side_Effect::C0018681
Anatomy::UBERON:0001969,AeG,Gene::3827
Gene::5916,GiG,Gene::5705
Gene::2064,GiG,Gene::5777
Gene::1387,Gr>G,Gene::6908
Gene::415116,GpBP,Biological_Process::GO:0090278
Disease::DOID:0050156,DaG,Gene::4318
Gene::231,GpCC,Cellular_Component::GO:0043209
Gene::2130,GiG,Gene::8454
Gene::3122,GpBP,Biological_Process::GO:0002478
Anatomy::UBERON:0002107,AuG,Gene::230
Gene::898,GiG,Gene::890
Anatomy::UBERON:0002368,AeG,Gene::250
Anatomy::UBERON:0002185,AuG,Gene::6745
Anatomy::UBERON:0000474,AeG,Gene::9741
Gene::9444,GiG,Gene::55832
Gene::7473,GpBP,Biological_Process::GO:0061387
Anatomy::UBERON:0000948,AuG,Gene::2896
Compound::DB00684,CcSE,Side_Effect::C0042109
Gene::991,GpBP,Biological_Process::GO:0016567
Anatomy::UBERON:0002369,AuG,Gene::27242
Anatomy::UBERON:0000970,AeG,Gene::5080
Compound::DB00698,CcSE,Side_Effect::C0011603
Gene::10300,GpCC,Cellular_Component::GO:0005874
Anatomy::UBERON:0000029,AdG,Gene::9322
Anatomy::UBERON:0001235,AdG,Gene::7923
Gene::4154,Gr>G,Gene::26520
Gene::6595,GpMF,Molecular_Function::GO:0000989
Gene::23252,Gr>G,Gene::7103
Anatomy::UBERON:0001007,AeG,Gene::6750
Anatomy::UBERON:0000057,AeG,Gene::8824
Gene::5914,GpMF,Molecular_Function::GO:0044212
Gene::8050,Gr>G,Gene::55699
Gene::1026,Gr>G,Gene::79947
Gene::4179,GpBP,Biological_Process::GO:0002684
Compound::DB00577,CcSE,Side_Effect::C0012833
Anatomy::UBERON:0002097,AeG,Gene::3861
